Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-08-52,6.772,329935.0000,330135.0000,53828.0000,1.0006,48750.0000,7948.6119
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-08-59,6.771,330365.0000,330547.0000,53818.0000,1.0005,48818.0475,7948.3089
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-06,6.868,334368.0000,334562.0000,53832.0000,1.0005,48713.1624,7838.0896
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-13,7.574,350497.0000,350719.0000,53838.0000,1.0006,46305.6509,7108.2651
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-21,7.573,350392.0000,351954.0000,53822.0000,1.0044,46474.8448,7107.0909
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-28,7.574,349820.0000,350352.0000,53830.0000,1.0015,46257.1956,7107.2088
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-36,7.573,345242.0000,345397.0000,53825.0000,1.0004,45609.0056,7107.4871
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-44,6.862,334488.0000,334712.0000,53836.0000,1.0006,48777.6158,7845.5260
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-51,6.821,332898.0000,332908.0000,53828.0000,1.0000,48806.3333,7891.5115
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-09-58,6.769,330368.0000,330447.0000,53832.0000,1.0002,48817.6983,7952.7256
