Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-10-52,4.566,190980.0000,191003.0000,28734.0000,1.0001,41831.5812,6293.0354
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-10-57,4.567,193387.0000,194275.0000,28726.0000,1.0045,42538.8657,6289.9058
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-02,4.566,198096.0000,198638.0000,28734.0000,1.0027,43503.7231,6293.0354
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-07,4.567,196786.0000,201360.0000,28730.0000,1.0232,44090.2123,6290.7816
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-12,4.564,195194.0000,195471.0000,28721.0000,1.0014,42828.8781,6292.9447
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-16,4.567,192063.0000,192241.0000,28727.0000,1.0009,42093.4968,6290.1248
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-21,4.567,191296.0000,191571.0000,28741.0000,1.0014,41946.7922,6293.1902
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-26,4.567,190605.0000,190728.0000,28733.0000,1.0006,41762.2071,6291.4385
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-31,4.567,189501.0000,189636.0000,28727.0000,1.0007,41523.1005,6290.1248
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-11-35,4.565,191345.0000,191507.0000,28726.0000,1.0008,41951.1500,6292.6615
