Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-32-52,4.564,201084.0000,201135.0000,28734.0000,1.0002,44069.8948,6295.7931
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-32-57,4.565,205992.0000,206126.0000,28735.0000,1.0006,45153.5596,6294.6330
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-02,4.563,203045.0000,202931.0000,28728.0000,.9994,44473.1536,6295.8579
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-07,4.562,193569.0000,193827.0000,28730.0000,1.0013,42487.2862,6297.6764
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-11,4.564,191536.0000,191788.0000,28720.0000,1.0013,42021.9106,6292.7256
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-16,4.562,194364.0000,194482.0000,28736.0000,1.0006,42630.8636,6298.9916
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-21,4.566,196460.0000,198738.0000,28726.0000,1.0115,43525.6241,6291.2833
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-26,4.562,187319.0000,187375.0000,28725.0000,1.0002,41072.9943,6296.5804
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-31,4.565,189443.0000,189496.0000,28733.0000,1.0002,41510.6243,6294.1949
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_20-33-35,4.563,192080.0000,192391.0000,28727.0000,1.0016,42163.2697,6295.6388
