Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-44-14,8.879,2274.0000,329716.0000,208294.0000,144.9938,37134.3619,23459.1733
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-44-23,8.831,1557.0000,327700.0000,208328.0000,210.4688,37107.9152,23590.5333
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-44-32,8.882,2210.0000,328154.0000,208256.0000,148.4859,36945.9581,23446.9714
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-44-42,8.881,2060.0000,329600.0000,208348.0000,160.0000,37112.9377,23459.9707
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-44-51,8.883,2684.0000,328935.0000,208277.0000,122.5540,37029.7196,23446.6959
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-45-00,8.933,2429.0000,331356.0000,208306.0000,136.4166,37093.4736,23318.7059
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-45-09,9.585,3830.0000,338116.0000,208262.0000,88.2809,35275.5346,21727.9081
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-45-19,8.927,4207.0000,331123.0000,208292.0000,78.7076,37092.3042,23332.8105
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-45-28,8.880,1556.0000,330295.0000,208323.0000,212.2718,37195.3828,23459.7972
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-45-37,9.585,2107.0000,337829.0000,208196.0000,160.3364,35245.5920,21721.0224
