Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-08-38,9.634,2680.0000,363703.0000,247445.0000,135.7100,37752.0240,25684.5547
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-08-48,10.585,2007.0000,376197.0000,252080.0000,187.4424,35540.5762,23814.8323
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-08-58,10.836,2344.0000,405581.0000,268185.0000,173.0294,37429.0328,24749.4462
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-09-09,11.592,2384.0000,416411.0000,282820.0000,174.6690,35922.2739,24397.8605
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-09-21,10.586,2647.0000,396214.0000,265679.0000,149.6841,37428.1126,25097.2038
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-09-32,11.591,1007.0000,421572.0000,288407.0000,418.6415,36370.6323,24881.9773
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-09-44,10.937,4025.0000,409185.0000,277642.0000,101.6608,37412.9103,25385.5719
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-09-55,10.587,2489.0000,389524.0000,261662.0000,156.4981,36792.6702,24715.4056
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-10-06,10.684,3306.0000,398520.0000,266704.0000,120.5444,37300.6364,24962.9352
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_18-10-17,10.838,4268.0000,405283.0000,272704.0000,94.9585,37394.6300,25161.8379
